OZN,OFU,OZU,OZK,OPIS,OFUst,OZUst,OZKst,
"Wm","Wm",,,"Grunty pod morskimi wodami wewnêtrznymi",,"Wm",,
"Wp","Wp",,,"Grunty pod wodami powierzchniowymi p³yn¹cymi",,"Wp",,
"W-PsI","W","Ps","I","Rowy","W","Ps","I",
"W-PsII","W","Ps","II","Rowy","W","Ps","II",
"W-PsIII","W","Ps","III","Rowy","W","Ps","III",
"W-PsIV","W","Ps","IV","Rowy","W","Ps","IV",
"W-PsV","W","Ps","V","Rowy","W","Ps","V",
"W-PsVI","W","Ps","VI","Rowy","W","Ps","VI",
"W-RI","W","R","I","Rowy","W","R","I",
"W-RII","W","R","II","Rowy","W","R","II",
"W-RIIIa","W","R","IIIa","Rowy","W","R","IIIa",
"W-RIIIb","W","R","IIIb","Rowy","W","R","IIIb",
"W-RIVa","W","R","IVa","Rowy","W","R","IVa",
"W-RIVb","W","R","IVb","Rowy","W","R","IVb",
"W-RV","W","R","V","Rowy","W","R","V",
"W-RVI","W","R","VI","Rowy","W","R","VI",
"Ws","Ws",,,"Grunty pod wodami powierzchniowymi stoj¹cymi",,"Ws",,
"Wsr","Wsr",,,"Grunty pod stawami",,"Wsr",,
"Wsr-LsI","Wsr","Ls","I","Grunty pod stawami","Wsr","Ls","I",
"Wsr-LsII","Wsr","Ls","II","Grunty pod stawami","Wsr","Ls","II",
"Wsr-LsIII","Wsr","Ls","III","Grunty pod stawami","Wsr","Ls","III",
"Wsr-LsIV","Wsr","Ls","IV","Grunty pod stawami","Wsr","Ls","IV",
"Wsr-LsV","Wsr","Ls","V","Grunty pod stawami","Wsr","Ls","V",
"Wsr-LsVI","Wsr","Ls","VI","Grunty pod stawami","Wsr","Ls","VI",
"Wsr-£I","Wsr","£","I","Grunty pod stawami","Wsr","£","I",
"Wsr-£II","Wsr","£","II","Grunty pod stawami","Wsr","£","II",
"Wsr-£III","Wsr","£","III","Grunty pod stawami","Wsr","£","III",
"Wsr-£IV","Wsr","£","IV","Grunty pod stawami","Wsr","£","IV",
"Wsr-£V","Wsr","£","V","Grunty pod stawami","Wsr","£","V",
"Wsr-£VI","Wsr","£","VI","Grunty pod stawami","Wsr","£","VI",
"Wsr-PsI","Wsr","Ps","I","Grunty pod stawami","Wsr","Ps","I",
"Wsr-PsII","Wsr","Ps","II","Grunty pod stawami","Wsr","Ps","II",
"Wsr-PsIII","Wsr","Ps","III","Grunty pod stawami","Wsr","Ps","III",
"Wsr-PsIV","Wsr","Ps","IV","Grunty pod stawami","Wsr","Ps","IV",
"Wsr-PsV","Wsr","Ps","V","Grunty pod stawami","Wsr","Ps","V",
"Wsr-PsVI","Wsr","Ps","VI","Grunty pod stawami","Wsr","Ps","VI",
"Wsr-RI","Wsr","R","I","Grunty pod stawami","Wsr","R","I",
"Wsr-RII","Wsr","R","II","Grunty pod stawami","Wsr","R","II",
"Wsr-RIIIa","Wsr","R","IIIa","Grunty pod stawami","Wsr","R","IIIa",
"Wsr-RIIIb","Wsr","R","IIIb","Grunty pod stawami","Wsr","R","IIIb",
"Wsr-RIVa","Wsr","R","IVa","Grunty pod stawami","Wsr","R","IVa",
"Wsr-RIVb","Wsr","R","IVb","Grunty pod stawami","Wsr","R","IVb",
"Wsr-RV","Wsr","R","V","Grunty pod stawami","Wsr","R","V",
"Wsr-RVI","Wsr","R","VI","Grunty pod stawami","Wsr","R","VI"
"B-RVIz","Br","R","VIz","U¿ytki rolne zabudowane",,"Br-R","VIz",
"RVIz","R","R","VIz","Grunty orne",,"R","VIz",
"Lz-RVIz","Lz","R","VIz","Grunty zadrzewione i zakrzewione",,"Lz-R","VIz",
